t_epoch,topic,value
1786391893.164630,/cmd_vel,0.0000
1786391893.189477,/costmap_app/stop_active,False
1786391893.214348,/cmd_vel,0.0000
1786391893.264360,/cmd_vel,0.0000
1786391893.290714,/costmap_app/stop_active,False
1786391893.307490,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.032
1786391893.314578,/cmd_vel,0.0000
1786391893.358681,/costmap_app/obstacle_detected,False
1786391893.365389,/cmd_vel,0.0000
1786391893.388111,/costmap_app/stop_active,False
1786391893.417398,/cmd_vel,0.0000
1786391893.464889,/cmd_vel,0.0000
1786391893.488863,/costmap_app/stop_active,False
1786391893.507456,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.026
1786391893.514665,/cmd_vel,0.0000
1786391893.558088,/costmap_app/obstacle_detected,False
1786391893.565263,/cmd_vel,0.0000
1786391893.589030,/costmap_app/stop_active,False
1786391893.615364,/cmd_vel,0.0000
1786391893.664283,/cmd_vel,0.0000
1786391893.688200,/costmap_app/stop_active,False
1786391893.707874,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.030
1786391893.717272,/cmd_vel,0.0000
1786391893.758142,/costmap_app/obstacle_detected,False
1786391893.764343,/cmd_vel,0.0000
1786391893.788678,/costmap_app/stop_active,False
1786391893.814319,/cmd_vel,0.0000
1786391893.864214,/cmd_vel,0.0000
1786391893.889128,/costmap_app/stop_active,False
1786391893.910665,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.026
1786391893.914131,/cmd_vel,0.0000
1786391893.958348,/costmap_app/obstacle_detected,False
1786391893.964839,/cmd_vel,0.0000
1786391893.987961,/costmap_app/stop_active,False
1786391894.014186,/cmd_vel,0.0000
1786391894.064269,/cmd_vel,0.0000
1786391894.088394,/costmap_app/stop_active,False
1786391894.108312,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.021
1786391894.117020,/cmd_vel,0.0000
1786391894.161190,/costmap_app/obstacle_detected,False
1786391894.164787,/cmd_vel,0.0000
1786391894.189487,/costmap_app/stop_active,False
1786391894.217150,/cmd_vel,0.0000
1786391894.265651,/cmd_vel,0.0000
1786391894.289353,/costmap_app/stop_active,False
1786391894.307539,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.030
1786391894.319512,/cmd_vel,0.0000
1786391894.360881,/costmap_app/obstacle_detected,False
1786391894.364706,/cmd_vel,0.0000
1786391894.389160,/costmap_app/stop_active,False
1786391894.414995,/cmd_vel,0.0000
1786391894.465984,/cmd_vel,0.0000
1786391894.488638,/costmap_app/stop_active,False
1786391894.511574,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.030
1786391894.514765,/cmd_vel,0.0000
1786391894.558792,/costmap_app/obstacle_detected,False
1786391894.564185,/cmd_vel,0.0000
1786391894.589827,/costmap_app/stop_active,False
1786391894.614936,/cmd_vel,0.0000
1786391894.665713,/cmd_vel,0.0000
1786391894.689546,/costmap_app/stop_active,False
1786391894.707832,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.025
1786391894.715368,/cmd_vel,0.0000
1786391894.759976,/costmap_app/obstacle_detected,False
1786391894.766739,/cmd_vel,0.0000
1786391894.787817,/costmap_app/stop_active,False
1786391894.815428,/cmd_vel,0.0000
1786391894.866318,/cmd_vel,0.0000
1786391894.889864,/costmap_app/stop_active,False
1786391894.907974,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.018
1786391894.914969,/cmd_vel,0.0000
1786391894.965069,/cmd_vel,0.0000
1786391894.988308,/costmap_app/stop_active,False
1786391895.010203,/costmap_app/obstacle_detected,False
1786391895.015890,/cmd_vel,0.0000
1786391895.064934,/cmd_vel,0.0000
1786391895.087704,/costmap_app/stop_active,False
1786391895.107499,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.012
1786391895.114162,/cmd_vel,0.0000
1786391895.165237,/cmd_vel,0.0000
1786391895.188711,/costmap_app/stop_active,False
1786391895.210620,/costmap_app/obstacle_detected,False
1786391895.214539,/cmd_vel,0.0000
1786391895.264986,/cmd_vel,0.0000
1786391895.289328,/costmap_app/stop_active,False
1786391895.307479,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.012
1786391895.314230,/cmd_vel,0.0000
1786391895.362830,/costmap_app/obstacle_detected,False
1786391895.366820,/cmd_vel,0.0000
1786391895.387769,/costmap_app/stop_active,False
1786391895.414983,/cmd_vel,0.0000
1786391895.457983,/costmap_app/obstacle_detected,False
1786391895.464234,/cmd_vel,0.0000
1786391895.488457,/costmap_app/stop_active,False
1786391895.508388,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.007
1786391895.514541,/cmd_vel,0.0000
1786391895.565824,/cmd_vel,0.0000
1786391895.588341,/costmap_app/stop_active,False
1786391895.614838,/cmd_vel,0.0000
1786391895.658535,/costmap_app/obstacle_detected,False
1786391895.664865,/cmd_vel,0.0000
1786391895.689929,/costmap_app/stop_active,False
1786391895.708252,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.005
1786391895.714646,/cmd_vel,0.0000
1786391895.767173,/cmd_vel,0.0000
1786391895.788270,/costmap_app/stop_active,False
1786391895.815023,/cmd_vel,0.0000
1786391895.858085,/costmap_app/obstacle_detected,False
1786391895.864195,/cmd_vel,0.0000
1786391895.889388,/costmap_app/stop_active,False
1786391895.910232,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.005
1786391895.915033,/cmd_vel,0.0000
1786391895.964928,/cmd_vel,0.0000
1786391895.987878,/costmap_app/stop_active,False
1786391896.016682,/cmd_vel,0.0000
1786391896.057961,/costmap_app/obstacle_detected,False
1786391896.065008,/cmd_vel,0.0000
1786391896.091558,/costmap_app/stop_active,False
1786391896.112173,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.064
1786391896.117804,/cmd_vel,0.0000
1786391896.165680,/cmd_vel,0.0000
1786391896.187838,/costmap_app/stop_active,False
1786391896.215795,/cmd_vel,0.0000
1786391896.257978,/costmap_app/obstacle_detected,False
1786391896.264174,/cmd_vel,0.0000
1786391896.289616,/costmap_app/stop_active,False
1786391896.307629,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.068
1786391896.314608,/cmd_vel,0.0000
1786391896.364299,/cmd_vel,0.0000
1786391896.398717,/costmap_app/stop_active,False
1786391896.414255,/cmd_vel,0.0000
1786391896.464608,/cmd_vel,0.0000
1786391896.489512,/costmap_app/stop_active,False
1786391896.509803,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.053
1786391896.509827,/costmap_app/obstacle_detected,False
1786391896.514310,/cmd_vel,0.0000
1786391896.565065,/cmd_vel,0.0000
1786391896.591337,/costmap_app/stop_active,False
1786391896.611178,/costmap_app/obstacle_detected,False
1786391896.614223,/cmd_vel,0.0000
1786391896.664371,/cmd_vel,0.0000
1786391896.688931,/costmap_app/stop_active,False
1786391896.707611,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.056
1786391896.716131,/cmd_vel,0.0000
1786391896.760079,/costmap_app/obstacle_detected,False
1786391896.764479,/cmd_vel,0.0000
1786391896.790153,/costmap_app/stop_active,False
1786391896.814181,/cmd_vel,0.0000
1786391896.864685,/cmd_vel,0.0000
1786391896.888936,/costmap_app/stop_active,False
1786391896.909438,/costmap_app/obstacle_detected,False
1786391896.910778,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.054
1786391896.914877,/cmd_vel,0.0000
1786391896.964969,/cmd_vel,0.0000
1786391896.989111,/costmap_app/stop_active,False
1786391897.015084,/cmd_vel,0.0000
1786391897.064569,/cmd_vel,0.0000
1786391897.087778,/costmap_app/stop_active,False
1786391897.108300,/costmap_app/obstacle_detected,False
1786391897.109005,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.055
1786391897.118192,/cmd_vel,0.0000
1786391897.160006,/costmap_app/obstacle_detected,False
1786391897.167753,/cmd_vel,0.0000
1786391897.188002,/costmap_app/stop_active,False
1786391897.215056,/cmd_vel,0.0000
1786391897.265615,/cmd_vel,0.0000
1786391897.287735,/costmap_app/stop_active,False
1786391897.308967,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.045
1786391897.315657,/cmd_vel,0.0000
1786391897.359000,/costmap_app/obstacle_detected,False
1786391897.365004,/cmd_vel,0.0000
1786391897.389728,/costmap_app/stop_active,False
1786391897.414942,/cmd_vel,0.0000
1786391897.465742,/cmd_vel,0.0000
