t_s,cmd_vel_linear_x
31.089,0.0000
31.140,0.0000
31.190,0.0000
31.241,0.0000
31.290,0.0000
31.340,0.0000
31.393,0.0000
31.439,0.0000
31.492,0.0000
31.539,0.0000
31.591,0.0000
31.643,0.0000
31.690,0.0000
31.740,0.0000
31.794,0.0000
31.840,0.0000
31.891,0.0000
31.940,0.0000
31.989,0.0000
32.039,0.0000
32.091,0.0000
32.141,0.0000
32.192,0.0000
32.240,0.0000
32.291,0.0000
32.342,0.0000
32.395,0.0000
32.441,0.0000
32.489,0.0000
32.541,0.0000
32.589,0.0000
32.644,0.0000
32.689,0.0000
32.741,0.0000
32.790,0.0000
32.839,0.0000
32.893,0.0000
32.943,0.0000
32.989,0.0000
33.041,0.0000
33.089,0.0000
33.140,0.0000
33.189,0.0000
33.239,0.0000
33.289,0.0000
33.341,0.0000
33.389,0.0000
33.439,0.0000
33.491,0.0000
33.539,0.0000
33.589,0.0000
33.639,0.0000
33.689,0.0000
33.739,0.0000
33.789,0.0000
33.839,0.0000
33.889,0.0000
33.939,0.0000
33.990,0.0000
34.040,0.0000
34.090,0.0000
34.139,0.0000
34.189,0.0000
34.241,0.0000
34.289,0.0000
34.339,0.0000
34.391,0.0000
34.440,0.0000
34.490,0.0000
34.539,0.0000
34.589,0.0000
34.640,0.0000
34.689,0.0000
34.739,0.0000
34.789,0.0000
34.840,0.0000
34.889,0.0000
34.941,0.0000
35.000,0.0000
35.039,0.0000
35.089,0.0000
35.139,0.0000
35.190,0.0000
35.241,0.0000
35.292,0.0000
35.339,0.0000
35.390,0.0000
35.440,0.0000
35.490,0.0000
35.541,0.0000
35.592,0.0000
35.639,0.0000
35.690,0.0000
35.741,0.0000
35.791,0.0000
35.840,0.0000
35.890,0.0000
35.939,0.0000
35.990,0.0000
36.040,0.0000
36.090,0.0000
36.144,0.0000
36.194,0.0000
36.239,0.0000
36.289,0.0000
36.341,0.0000
36.390,0.0000
36.439,0.0000
36.489,0.0000
36.541,0.0000
36.589,0.0000
36.639,0.0000
36.691,0.0000
36.740,0.0000
36.789,0.0000
36.839,0.0000
36.889,0.0000
36.940,0.0000
36.991,0.0000
37.039,0.0000
37.089,0.0000
37.140,0.0000
37.193,0.0000
37.240,0.0000
37.289,0.0000
37.340,0.0000
37.391,0.0000
37.439,0.0000
37.490,0.0000
37.539,0.0000
37.593,0.0000
37.639,0.0000
37.691,0.0000
37.739,0.0000
37.789,0.0000
37.839,0.0000
37.889,0.0000
37.939,0.0000
37.989,0.0000
38.039,0.0000
38.090,0.0000
38.139,0.0000
38.189,0.0000
